Textbox41,Textbox38,vlSaldoAteOExercicioAnterior,vlSaldo_01,vlSaldo_02,vlSaldo_03
SALDO DO EXERCÍCIO DE 2026,DÍVIDA CONSOLIDADA – DC (I)," 69.405.016,78"," 78.942.722,86"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Dívida Mobiliária," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Dívida Contratual," 69.405.016,78"," 78.942.722,86"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Empréstimos," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Internos," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Externos," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Reestruturação da Dívida de Estados e Municípios," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Financiamentos," 61.300.572,14"," 71.020.043,26"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Internos," 61.300.572,14"," 71.020.043,26"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Externos," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Parcelamento e Renegociação de dívidas," 8.104.444,64"," 7.922.679,60"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         De Tributos," 5.155.396,94"," 5.087.845,58"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         De Contribuições Previdenciárias," 2.949.047,70"," 2.834.834,02"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         De Demais Contribuições Sociais," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Do FGTS," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Com Instituição Não Financeira," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Demais Dívidas Contratuais," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Precatórios Posteriores a 05/05/2000 (Inclusive) – Vencidos e não Pagos," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Outras Dívidas," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,DEDUÇÕES (II)," 111.435.072,16"," 219.079.000,46"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Disponibilidade de Caixa," 110.947.601,66"," 218.591.529,96"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Disponibilidade de Caixa Bruta," 113.176.942,92"," 229.024.515,40"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      (-) Restos a Pagar Processados," 82.168,96"," 6.545.992,58"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      (-) Depósitos Restituíves e Valores Vinculados," 2.147.172,30"," 3.886.992,86"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Demais Haveres Financeiros," 487.470,50"," 487.470,50"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,DÍVIDA CONSOLIDADA LÍQUIDA – DCL (III) = (I – II),"- 42.030.055,38","- 140.136.277,60"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,RECEITA CORRENTE LÍQUIDA – RCL (IV)," 472.467.977,49"," 579.724.657,80"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,"(-) Transferências obrigatórias da União relativas às emendas individuais (art. 166-A, § 1º, da CF) (V)"," 4.746.000,00"," 4.996.000,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (VI) = (IV - V)," 467.721.977,49"," 574.728.657,80"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,% DA DC SOBRE A RCL (I/VI)," 14,84"," 13,74"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,% DA DCL SOBRE A RCL (III/VI),"- 8,99","- 24,38"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,LIMITE DEFINIDO POR RESOLUÇÃO DO SENADO FEDERAL: (120% da RCL AJUSTADA)," 561.266.372,99"," 689.674.389,36"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,LIMITE DE ALERTA (inciso III do § 1º do art. 59 da LRF): (108% da RCL AJUSTADA)," 505.139.735,69"," 620.706.950,42"," 0,00"," 0,00"

Textbox59,Textbox71,vlSaldoAteOExercicioAnterior4,vlSaldo_7,vlSaldo_8,vlSaldo_9
SALDO DO EXERCÍCIO DE 2026,ANTECIPAÇÕES DE RECEITA ORÇAMENTÁRIA – ARO," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,PRECATÓRIOS ANTERIORES A 05/05/2000," 0,00"," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,PRECATÓRIOS POSTERIORES A 05/05/2000 (Não incluídos na DC)," 6.437.396,73"," 6.437.396,73"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,PASSIVO ATUARIAL," 682.105.700,46"," 682.105.700,46"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,RP NÃO-PROCESSADOS," 37.732.011,41"," 15.707.215,98"," 0,00"," 0,00"

Textbox46,Textbox52,vlSaldoAteOExercicioAnterior2,vlSaldo_2,vlSaldo_3
SALDO DO EXERCÍCIO DE 2026,DÍVIDA CONSOLIDADA – DC (I)," 69.405.016,78"," 78.942.722,86"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Dívida Mobiliária," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,   Dívida Contratual," 69.405.016,78"," 78.942.722,86"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Empréstimos," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Internos," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,         Externos," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Reestruturação da Dívida de Estados e Municípios," 0,00"," 0,00"," 0,00"
SALDO DO EXERCÍCIO DE 2026,      Financiamentos," 61.300.572,14"," 71.020.043,26"," 0,00"
